service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
L6A6_L6A3,0,0,0,0,0,0,0,20251123,20260222
L6A6_L6A4,0,0,0,0,0,0,0,20251123,20260222
L6A6_L6A5,0,0,0,0,0,0,0,20251123,20260222
L6A6_L6A6,0,0,0,0,0,0,0,20251123,20260222
L6A6NAV_L6A1,0,0,0,0,0,0,0,20251225,20260101
L6A6NAV_L6A2,0,0,0,0,0,0,0,20251225,20260101
L6A6NAV_L6A3,0,0,0,0,0,0,0,20251225,20260101
L6A6NAV_L6A4,0,0,0,0,0,0,0,20251225,20260101
L6A6NAV_L6A5,0,0,0,0,0,0,0,20251225,20260101
L6A6NAV_L6A6,0,0,0,0,0,0,0,20251225,20260101
L6A7_L6A1,0,0,0,0,0,0,0,20251122,20260221
L6A7_L6A2,0,0,0,0,0,0,0,20251122,20260221
L6A7_L6A3,0,0,0,0,0,0,0,20251122,20260221
L6A7_L6A4,0,0,0,0,0,0,0,20251122,20260221
L6A7_L6A5,0,0,0,0,0,0,0,20251122,20260221
L6A7_L6A6,0,0,0,0,0,0,0,20251122,20260221
