service_id,date,exception_type
L6A9_L6A9,20250414,1
L6A9_L6A1,20250415,1
L6A9_L6A2,20250415,1
L6A9_L6A3,20250415,1
L6A9_L6A4,20250415,1
L6A9_L6A5,20250415,1
L6A9_L6A6,20250415,1
L6A9_L6A7,20250415,1
L6A9_L6A8,20250415,1
L6A9_L6A9,20250415,1
L6A9_L6A1,20250416,1
L6A9_L6A2,20250416,1
L6A9_L6A3,20250416,1
L6A9_L6A4,20250416,1
L6A9_L6A5,20250416,1
L6A9_L6A6,20250416,1
L6A9_L6A7,20250416,1
L6A9_L6A8,20250416,1
L6A9_L6A9,20250416,1
L7A6_L7A1,20250222,1
L7A6_L7A2,20250222,1
L7A6_L7A3,20250222,1
L7A6_L7A4,20250222,1
L7A6_L7A5,20250222,1
L7A6_L7A6,20250222,1
L7A6_L7A1,20250223,1
L7A6_L7A2,20250223,1
L7A6_L7A3,20250223,1
L7A6_L7A4,20250223,1
L7A6_L7A5,20250223,1
L7A6_L7A6,20250223,1
L7A6_L7A1,20250301,1
L7A6_L7A2,20250301,1
L7A6_L7A3,20250301,1
L7A6_L7A4,20250301,1
L7A6_L7A5,20250301,1
L7A6_L7A6,20250301,1
L7A6_L7A1,20250302,1
L7A6_L7A2,20250302,1
L7A6_L7A3,20250302,1
L7A6_L7A4,20250302,1
L7A6_L7A5,20250302,1
L7A6_L7A6,20250302,1
L7A6_L7A1,20250308,1
L7A6_L7A2,20250308,1
L7A6_L7A3,20250308,1
L7A6_L7A4,20250308,1
L7A6_L7A5,20250308,1
L7A6_L7A6,20250308,1
L7A6_L7A1,20250309,1
L7A6_L7A2,20250309,1
L7A6_L7A3,20250309,1
L7A6_L7A4,20250309,1
L7A6_L7A5,20250309,1
L7A6_L7A6,20250309,1
L7A6_L7A1,20250315,1
L7A6_L7A2,20250315,1
L7A6_L7A3,20250315,1
L7A6_L7A4,20250315,1
L7A6_L7A5,20250315,1
L7A6_L7A6,20250315,1
L7A6_L7A1,20250316,1
L7A6_L7A2,20250316,1
L7A6_L7A3,20250316,1
L7A6_L7A4,20250316,1
L7A6_L7A5,20250316,1
L7A6_L7A6,20250316,1
L7A6_L7A1,20250322,1
L7A6_L7A2,20250322,1
L7A6_L7A3,20250322,1
L7A6_L7A4,20250322,1
L7A6_L7A5,20250322,1
L7A6_L7A6,20250322,1
L7A6_L7A1,20250323,1
L7A6_L7A2,20250323,1
L7A6_L7A3,20250323,1
L7A6_L7A4,20250323,1
L7A6_L7A5,20250323,1
L7A6_L7A6,20250323,1
L7A6_L7A1,20250329,1
L7A6_L7A2,20250329,1
L7A6_L7A3,20250329,1
L7A6_L7A4,20250329,1
L7A6_L7A5,20250329,1
L7A6_L7A6,20250329,1
L7A6_L7A1,20250330,1
L7A6_L7A2,20250330,1
L7A6_L7A3,20250330,1
L7A6_L7A4,20250330,1
L7A6_L7A5,20250330,1
L7A6_L7A6,20250330,1
L7A6_L7A1,20250405,1
L7A6_L7A2,20250405,1
L7A6_L7A3,20250405,1
L7A6_L7A4,20250405,1
L7A6_L7A5,20250405,1
L7A6_L7A6,20250405,1
L7A6_L7A1,20250406,1
L7A6_L7A2,20250406,1
L7A6_L7A3,20250406,1
L7A6_L7A4,20250406,1
L7A6_L7A5,20250406,1
L7A6_L7A6,20250406,1
L7A6_L7A1,20250412,1
L7A6_L7A2,20250412,1
L7A6_L7A3,20250412,1
L7A6_L7A4,20250412,1
L7A6_L7A5,20250412,1
L7A6_L7A6,20250412,1
L7A6_L7A1,20250413,1
L7A6_L7A2,20250413,1
L7A6_L7A3,20250413,1
L7A6_L7A4,20250413,1
L7A6_L7A5,20250413,1
L7A6_L7A6,20250413,1
L7A9_L7A1,20250217,1
L7A9_L7A2,20250217,1
L7A9_L7A3,20250217,1
L7A9_L7A4,20250217,1
L7A9_L7A5,20250217,1
L7A9_L7A6,20250217,1
L7A9_L7A7,20250217,1
L7A9_L7A8,20250217,1
L7A9_L7A9,20250217,1
L7A9_L7A1,20250218,1
L7A9_L7A2,20250218,1
L7A9_L7A3,20250218,1
L7A9_L7A4,20250218,1
L7A9_L7A5,20250218,1
L7A9_L7A6,20250218,1
L7A9_L7A7,20250218,1
L7A9_L7A8,20250218,1
L7A9_L7A9,20250218,1
L7A9_L7A1,20250219,1
L7A9_L7A2,20250219,1
L7A9_L7A3,20250219,1
L7A9_L7A4,20250219,1
L7A9_L7A5,20250219,1
L7A9_L7A6,20250219,1
L7A9_L7A7,20250219,1
L7A9_L7A8,20250219,1
L7A9_L7A9,20250219,1
L7A9_L7A1,20250220,1
L7A9_L7A2,20250220,1
L7A9_L7A3,20250220,1
L7A9_L7A4,20250220,1
L7A9_L7A5,20250220,1
L7A9_L7A6,20250220,1
L7A9_L7A7,20250220,1
L7A9_L7A8,20250220,1
L7A9_L7A9,20250220,1
L7A9_L7A1,20250221,1
L7A9_L7A2,20250221,1
L7A9_L7A3,20250221,1
L7A9_L7A4,20250221,1
L7A9_L7A5,20250221,1
L7A9_L7A6,20250221,1
L7A9_L7A7,20250221,1
L7A9_L7A8,20250221,1
L7A9_L7A9,20250221,1
L7A9_L7A1,20250224,1
L7A9_L7A2,20250224,1
L7A9_L7A3,20250224,1
L7A9_L7A4,20250224,1
L7A9_L7A5,20250224,1
L7A9_L7A6,20250224,1
L7A9_L7A7,20250224,1
L7A9_L7A8,20250224,1
L7A9_L7A9,20250224,1
L7A9_L7A1,20250225,1
L7A9_L7A2,20250225,1
L7A9_L7A3,20250225,1
